episode_id,suite,success,reward_positive,object_lift,semantic_any,first_success_stage,reward_sum,eef_displacement,eef_path_length,object_motion,f10609,f11471,f1972,f9215,f11070,f3154,f11183,f9998,f15966,f1528,f5981,f15118,f14915,f1457,f8150,f13328,f15790,f15872,f3212,f15030
chunk_03_rollout_000075,long,0,0,0,0,,0.0,0.34066641330718994,1.1388757228851318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000076,spatial,0,0,1,1,,0.0,0.4093829393386841,1.2115144729614258,0.10365773737430573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000077,goal,0,0,0,0,,0.0,0.20261161029338837,1.6225290298461914,0.008056110702455044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000078,long,0,0,0,0,,0.0,0.23968687653541565,1.5163161754608154,7.450580596923828e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000079,spatial,1,1,1,1,1.0,1.0,0.4175341725349426,0.7908356189727783,0.17262952029705048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000080,long,1,1,0,1,1.0,1.0,0.2695189416408539,1.936540961265564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000081,long,1,1,1,1,1.0,1.0,0.3048204779624939,1.9767109155654907,0.4842916429042816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000082,long,0,0,0,0,,0.0,0.3219994604587555,2.751216411590576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000083,object,1,1,1,1,1.0,1.0,0.30345430970191956,1.4356783628463745,0.5375978946685791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000084,object,1,1,1,1,1.0,1.0,0.3162776529788971,1.2422995567321777,0.39742833375930786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunk_03_rollout_000085,long,1,1,0,1,1.0,1.0,0.24978531897068024,1.4575568437576294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
