group_col,group,method,high_episode,low_episode,progress_gap,score_delta_high_minus_low,correct
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000416,0.27623756555501633,-0.17366153001785278,0.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000416,0.27623756555501633,-0.08793163299560547,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000597,rollout_000416,0.27623756555501633,0.013935267925262451,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000597,rollout_000416,0.27623756555501633,0.008174121379852295,1.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000416,0.28613463547946627,0.06540727615356445,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000416,0.28613463547946627,0.23910152912139893,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000416,0.28613463547946627,0.01079338788986206,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000416,0.28613463547946627,-0.09551554918289185,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000677,rollout_000416,0.28613463547946627,0.013935267925262451,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000677,rollout_000416,0.28613463547946627,0.008174121379852295,1.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000428,0.3187071149980462,-0.19298043847084045,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000428,0.3187071149980462,0.2449873685836792,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000597,rollout_000428,0.3187071149980462,0.0546858012676239,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000597,rollout_000428,0.3187071149980462,-0.07028400897979736,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000597,rollout_000428,0.3187071149980462,0.01302635669708252,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000597,rollout_000428,0.3187071149980462,0.007910490036010742,1.0
task_key,goal:5,full_sae_ridge,rollout_000607,rollout_000428,0.22371263380226364,-0.07334858179092407,0.0
task_key,goal:5,motion_ridge,rollout_000607,rollout_000428,0.22371263380226364,0.15047109127044678,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000607,rollout_000428,0.22371263380226364,0.08495917916297913,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000607,rollout_000428,0.22371263380226364,-0.12611210346221924,0.0
task_key,goal:5,full_sae_ridge,rollout_000677,rollout_000428,0.32860418492249616,0.011364996433258057,1.0
task_key,goal:5,motion_ridge,rollout_000677,rollout_000428,0.32860418492249616,0.24528586864471436,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000677,rollout_000428,0.32860418492249616,0.23914071917533875,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000677,rollout_000428,0.32860418492249616,-0.07786792516708374,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000677,rollout_000428,0.32860418492249616,0.01302635669708252,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000677,rollout_000428,0.32860418492249616,0.007910490036010742,1.0
task_key,goal:5,full_sae_ridge,rollout_000703,rollout_000428,0.2074945051854748,-0.13154804706573486,0.0
task_key,goal:5,motion_ridge,rollout_000703,rollout_000428,0.2074945051854748,0.15915024280548096,1.0
task_key,goal:5,nested_train_top20_sae_ridge,rollout_000703,rollout_000428,0.2074945051854748,0.15479311347007751,1.0
task_key,goal:5,raw_pca20_ridge,rollout_000703,rollout_000428,0.2074945051854748,-0.07285794615745544,0.0
task_key,goal:5,robust20_sae_ridge,rollout_000703,rollout_000428,0.2074945051854748,0.0037227869033813477,1.0
task_key,goal:5,submitted20_sae_ridge,rollout_000703,rollout_000428,0.2074945051854748,0.002932310104370117,1.0
task_key,goal:5,full_sae_ridge,rollout_000597,rollout_000453,0.3374931002707644,-0.1967027485370636,0.0
task_key,goal:5,motion_ridge,rollout_000597,rollout_000453,0.3374931002707644,0.2834280729293823,1.0
