dictionary,feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,freq_low_progress,freq_high_progress,direction,adjusted_p,significant,composite_score
16K_d16384_k32,4949,25092.0,1.4421117600973572e-23,-0.4350996596985901,0.4350996596985901,0.00339649710804224,1.3988280443300027e-05,0.4385026737967914,0.0053475935828877,higher_in_low_progress,1.4276906424963836e-21,True,9.069811603711413
16K_d16384_k32,15118,8812.0,9.180305275265964e-21,0.49601075238068004,0.49601075238068004,0.001074506202712655,0.006216161418706179,0.18181818181818182,0.6256684491978609,higher_in_high_progress,5.75605140759176e-19,True,9.04717428874498
16K_d16384_k32,6431,26293.0,2.3308933771723988e-20,-0.5037890703194259,0.5037890703194259,0.01073699351400137,0.0023025101982057095,0.6737967914438503,0.2192513368983957,higher_in_low_progress,1.2895324830768477e-18,True,9.012568686847557
16K_d16384_k32,15030,8876.0,1.2760357149036768e-20,0.49235036746832905,0.49235036746832905,0.0012608295073732734,0.006775800138711929,0.1657754010695187,0.6310160427807486,higher_in_high_progress,7.742655418496181e-19,True,8.917011697377399
16K_d16384_k32,9086,9351.0,1.0124581227696572e-21,0.46518344819697444,0.46518344819697444,0.0004189953033346683,0.005139495711773634,0.08021390374331551,0.5240641711229946,higher_in_high_progress,7.617734915718901e-20,True,8.89345817159431
16K_d16384_k32,14915,9198.0,2.936488529884789e-21,0.4739340558780635,0.4739340558780635,0.0010312044760212302,0.0056806704960763454,0.09090909090909091,0.5721925133689839,higher_in_high_progress,2.0719770814107063e-19,True,8.854801460402868
16K_d16384_k32,778,9432.0,8.288055648329644e-22,0.46055077354228036,0.46055077354228036,0.0002885920985136181,0.0028944951482117176,0.06417112299465241,0.5187165775401069,higher_in_high_progress,6.495763614378358e-20,True,8.836757998001717
16K_d16384_k32,13864,9822.0,9.564583519656662e-23,0.43824530298264175,0.43824530298264175,6.888410280225798e-05,0.002639452228322625,0.0213903743315508,0.45454545454545453,higher_in_high_progress,8.567134095463896e-21,True,8.794340557964922
16K_d16384_k32,5850,9847.0,2.8920717222042155e-22,0.4368154651262547,0.4368154651262547,0.0001405686343787238,0.0035357284359633923,0.026737967914438502,0.45989304812834225,higher_in_high_progress,2.4727213224846043e-20,True,8.564564306100745
16K_d16384_k32,3796,25517.0,3.6312418385688874e-20,-0.4594069032571706,0.4594069032571706,0.006886695045977831,0.000832798657938838,0.5508021390374331,0.10695187165775401,higher_in_low_progress,1.951533113813736e-18,True,8.135923554221089
16K_d16384_k32,5981,25525.0,1.1784752172658938e-19,-0.45986445137121446,0.45986445137121446,0.013164510019123554,0.0006296324427239597,0.5561497326203209,0.13368983957219252,higher_in_low_progress,5.833452325466174e-18,True,7.925338144520785
16K_d16384_k32,5702,10094.0,8.543908493709494e-21,0.4226886671051503,0.4226886671051503,0.00021612201817333698,0.004047653172165155,0.0374331550802139,0.45454545454545453,higher_in_high_progress,5.541755819540537e-19,True,7.716753352607146
16K_d16384_k32,12628,10203.0,2.2057658303417025e-20,0.4164545740513026,0.4164545740513026,0.00030251790303736925,0.005525087937712669,0.0374331550802139,0.44919786096256686,higher_in_high_progress,1.2572865232947705e-18,True,7.454772480351058
16K_d16384_k32,10462,9653.5,1.7445144895120643e-18,0.44788241013469077,0.44788241013469077,0.0008694021380506456,0.005101494491100311,0.13903743315508021,0.5668449197860963,higher_in_high_progress,7.457799442664076e-17,True,7.223173988861112
16K_d16384_k32,14212,10140.0,1.4152136987233254e-19,0.420057765449398,0.420057765449398,0.00029490975430235267,0.0038029260467737913,0.058823529411764705,0.47058823529411764,higher_in_high_progress,6.8256845315348076e-18,True,7.2106501841137085
16K_d16384_k32,12390,10368.0,7.728314471530314e-20,0.40701764419914777,0.40701764419914777,0.0003495154669508338,0.005049029365181923,0.0374331550802139,0.4385026737967914,higher_in_high_progress,4.038044311374589e-18,True,7.079595270477725
