condition,mean_progress_logit_delta,mean_action_shift_l2,mean_translation_shift_l2,mean_rotation_shift_l2,mean_gripper_shift_abs
random20_trial064,0.0986895617720842,0.00954445814935398,0.007780050298826058,0.0017898322142507518,0.004693044665755963
random20_trial065,0.08012373666175315,0.005803606130768361,0.004094212468118244,0.001779311523763768,0.00283362974780017
random20_trial066,0.08261320443685446,0.007437103119305829,0.0067730719910885345,0.001678890975232601,0.001842469107452416
random20_trial067,-0.011561678939853751,0.007530150233165783,0.006680775080451425,0.000989085354074842,0.001687862574102443
random20_trial068,0.0925357113872596,0.0038917000213198813,0.003302112616223084,0.0010959370156692105,0.00129212274940492
random20_trial069,0.05994220401872622,0.0045046395973485755,0.004234185356101654,0.0008333162551221389,0.0009494558943956196
random20_trial070,0.09901790298234026,0.005239702678651396,0.004644025357695554,0.001059590226399574,0.0020241415764879625
random20_trial071,0.04463575536480539,0.0012436564431802881,0.0008296619875570926,0.00032155160458032726,0.00076663722532594
random20_trial072,0.05673735921033448,0.0044754535737140414,0.003940043391570225,0.0009239761922663972,0.0016711041155295695
random20_trial073,0.06952021891635161,0.0047517139328326465,0.004204788784403039,0.0010725401836431555,0.001501311943558008
random20_trial074,0.07873163392384185,0.0026991534909729777,0.002311064181490197,0.0006240205033197807,0.0010445249290707626
random20_trial075,0.07983042888339402,0.003427849424858333,0.0031571621118263726,0.0009432283191738659,0.0006083744427990579
random20_trial076,0.07252892204773739,0.004935526094493218,0.00444073375572142,0.000805108445002914,0.0015063079471737937
random20_trial077,0.06287930785959796,0.001913770513687725,0.0017516161910629763,0.00046937774278620065,0.0004933664084309187
random20_trial078,0.13019568422817726,0.004753057187308244,0.004223598097319934,0.0012578170745809528,0.0015379509651933156
random20_trial079,-0.019129894079631754,0.0037018404265991723,0.003109148375342011,0.0009816318560103825,0.0013960754687493994
random20_trial080,0.06827630790395202,0.004114023339949504,0.0036283689682950165,0.0010324771188471756,0.001230977010415175
random20_trial081,0.06945953092736665,0.0027338193522250705,0.0024524836310030286,0.0005897818965271012,0.0008523843647919154
random20_trial082,0.04405250504274774,0.0054269880657261465,0.004750439313233998,0.0009994668043592973,0.002228636093898215
random20_trial083,0.07563853423027012,0.002416225785927058,0.0021105969789948216,0.0005473761605229161,0.0008611770735945734
random20_trial084,0.0484977639924191,0.010013132403680628,0.009165225092120843,0.0026484629151300545,0.0017336852100187075
