feature_idx,feature_col,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,direction,in_submitted_top20,adjusted_p,significant
10550,f10550,0.31989151063570387,-0.10341426518692921,0.10341426518692921,3.267785762139415e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
1595,f1595,0.31989151063570387,-0.10341425510810083,0.10341425510810083,3.2577529906275e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
750,f750,0.31989151063570387,-0.10341425502198809,0.10341425502198809,3.257667536827446e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
3703,f3703,0.31989151063570387,-0.10341424656548671,0.10341424656548671,3.249297522880266e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
7047,f7047,0.31989151063570387,-0.10341424535421616,0.10341424535421616,3.248102160448085e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
1913,f1913,0.31989151063570387,-0.10341424258573213,0.10341424258573213,3.24537333576601e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
13244,f13244,0.31989151063570387,-0.10341423551719316,0.10341423551719316,3.238426808743351e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
3431,f3431,0.31989151063570387,-0.1034142322634951,0.1034142322634951,3.235239258154893e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
10484,f10484,0.31989151063570387,-0.10341422906550572,0.10341422906550572,3.2321123921490424e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
3422,f3422,0.31989151063570387,0.10341422248953241,0.10341422248953241,0.0,3.2257016232989894e-05,higher_in_high_progress,False,0.38255499280564464,False
16160,f16160,0.31989151063570387,-0.10341422163748853,0.10341422163748853,3.224872845284468e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
15050,f15050,0.31989151063570387,0.10341421301506792,0.10341421301506792,0.0,3.2165097667181384e-05,higher_in_high_progress,False,0.38255499280564464,False
2414,f2414,0.31989151063570387,-0.10341420976893516,0.10341420976893516,3.213372497641011e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9819,f9819,0.31989151063570387,0.10341420750961741,0.10341420750961741,0.0,3.211192558816755e-05,higher_in_high_progress,False,0.38255499280564464,False
13148,f13148,0.31989151063570387,0.10341420166292747,0.10341420166292747,0.0,3.205564992621224e-05,higher_in_high_progress,False,0.38255499280564464,False
16067,f16067,0.31989151063570387,0.10341420037297101,0.10341420037297101,0.0,3.20432603636633e-05,higher_in_high_progress,False,0.38255499280564464,False
6519,f6519,0.31989151063570387,0.10341419974336193,0.10341419974336193,0.0,3.203721667461542e-05,higher_in_high_progress,False,0.38255499280564464,False
9411,f9411,0.31989151063570387,0.10341419396387885,0.10341419396387885,0.0,3.198184508909522e-05,higher_in_high_progress,False,0.38255499280564464,False
10210,f10210,0.31989151063570387,0.1034141891718556,0.1034141891718556,0.0,3.1936079006087236e-05,higher_in_high_progress,False,0.38255499280564464,False
1564,f1564,0.31989151063570387,-0.10341418641341152,0.10341418641341152,3.190979391257128e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
6555,f6555,0.31989151063570387,0.10341418567702405,0.10341418567702405,0.0,3.190278422404468e-05,higher_in_high_progress,False,0.38255499280564464,False
3881,f3881,0.31989151063570387,-0.10341418258483191,0.10341418258483191,3.1873383162978726e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
1530,f1530,0.31989151063570387,0.10341418231832925,0.10341418231832925,0.0,3.1870851748959576e-05,higher_in_high_progress,False,0.38255499280564464,False
6483,f6483,0.31989151063570387,-0.10341417621867899,0.10341417621867899,3.181302305707234e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4820,f4820,0.31989151063570387,-0.10341417614067999,0.10341417614067999,3.181228493439362e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5920,f5920,0.31989151063570387,0.10341416307680604,0.10341416307680604,0.0,3.168913981619628e-05,higher_in_high_progress,False,0.38255499280564464,False
10204,f10204,0.31989151063570387,-0.10341416012272309,0.10341416012272309,3.166142553883617e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8852,f8852,0.31989151063570387,-0.1034141562187115,0.1034141562187115,3.162487360470426e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
5475,f5475,0.31989151063570387,-0.10341414722514361,0.10341414722514361,3.1540990173023936e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
1353,f1353,0.31989151063570387,-0.10341414683448119,0.10341414683448119,3.153735652882979e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
14939,f14939,0.31989151063570387,-0.10341414048981579,0.10341414048981579,3.147846028367234e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
7024,f7024,0.31989151063570387,-0.10341413084645032,0.10341413084645032,3.13893629317266e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8559,f8559,0.31989151063570387,-0.10341412548202462,0.10341412548202462,3.1340017696802656e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8366,f8366,0.31989151063570387,-0.10341412503076461,0.10341412503076461,3.133587380672979e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4476,f4476,0.31989151063570387,0.10341412289179341,0.10341412289179341,0.0,3.131624667885426e-05,higher_in_high_progress,False,0.38255499280564464,False
15687,f15687,0.31989151063570387,-0.10341412192616527,0.10341412192616527,3.130739416055213e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4419,f4419,0.31989151063570387,-0.10341412180616652,0.10341412180616652,3.1306294407298936e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
2354,f2354,0.31989151063570387,-0.1034141208326227,0.1034141208326227,3.129737501210958e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
11270,f11270,0.31989151063570387,-0.10341411841975921,0.10341411841975921,3.127529077786702e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
6056,f6056,0.31989151063570387,-0.10341411488226687,0.10341411488226687,3.124296942606862e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8742,f8742,0.31989151063570387,0.1034141062992397,0.1034141062992397,0.0,3.1164825022061703e-05,higher_in_high_progress,False,0.38255499280564464,False
11098,f11098,0.31989151063570387,-0.10341410617841333,0.10341410617841333,3.1163727745730316e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4385,f4385,0.31989151063570387,0.10341410385788055,0.10341410385788055,0.0,3.114266895708883e-05,higher_in_high_progress,False,0.38255499280564464,False
2372,f2372,0.31989151063570387,-0.10341410225307263,0.10341410225307263,3.1128121995703725e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
10292,f10292,0.31989151063570387,-0.10341410191240796,0.10341410191240796,3.1125035751214364e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
11286,f11286,0.31989151063570387,0.1034141003394442,0.1034141003394442,0.0,3.1110793451203725e-05,higher_in_high_progress,False,0.38255499280564464,False
2861,f2861,0.31989151063570387,-0.10341409117704896,0.10341409117704896,3.102809151119362e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
1101,f1101,0.31989151063570387,0.10341409061758837,0.10341409061758837,0.0,3.1023055929294146e-05,higher_in_high_progress,False,0.38255499280564464,False
5467,f5467,0.31989151063570387,-0.10341408667365283,0.10341408667365283,3.0987603748414896e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
13894,f13894,0.31989151063570387,-0.10341408515324624,0.10341408515324624,3.0973958386544147e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
2297,f2297,0.31989151063570387,-0.10341408045081388,0.10341408045081388,3.093183090157287e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
955,f955,0.31989151063570387,-0.1034140780376793,0.1034140780376793,3.0910256913209044e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
10428,f10428,0.31989151063570387,-0.10341407677574678,0.10341407677574678,3.0898986919287235e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
7029,f7029,0.31989151063570387,0.10341407611140638,0.10341407611140638,0.0,3.089305716863936e-05,higher_in_high_progress,False,0.38255499280564464,False
1169,f1169,0.31989151063570387,0.10341407490111904,0.10341407490111904,0.0,3.088226026677021e-05,higher_in_high_progress,False,0.38255499280564464,False
7767,f7767,0.31989151063570387,0.10341407135757831,0.10341407135757831,0.0,3.0850691899181386e-05,higher_in_high_progress,False,0.38255499280564464,False
7844,f7844,0.31989151063570387,-0.103414068022625,0.103414068022625,3.082104066901968e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
789,f789,0.31989151063570387,0.10341406532847797,0.10341406532847797,0.0,3.0797128466532446e-05,higher_in_high_progress,False,0.38255499280564464,False
5741,f5741,0.31989151063570387,-0.10341406350824743,0.10341406350824743,3.07809937983117e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4237,f4237,0.31989151063570387,0.1034140634036813,0.1034140634036813,0.0,3.078006742958032e-05,higher_in_high_progress,False,0.38255499280564464,False
11772,f11772,0.31989151063570387,-0.10341406113998898,0.10341406113998898,3.076002665577394e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
11858,f11858,0.31989151063570387,-0.10341405841495094,0.10341405841495094,3.0735936114920745e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
8316,f8316,0.31989151063570387,-0.10341405114246074,0.10341405114246074,3.0671828426420214e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
14334,f14334,0.31989151063570387,0.1034140504535955,0.1034140504535955,0.0,3.0665769875842024e-05,higher_in_high_progress,False,0.38255499280564464,False
11719,f11719,0.31989151063570387,0.10341405018456565,0.10341405018456565,0.0,3.066340441557926e-05,higher_in_high_progress,False,0.38255499280564464,False
13772,f13772,0.31989151063570387,-0.103414042687186,0.103414042687186,3.059762975874681e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12850,f12850,0.31989151063570387,0.1034140404952839,0.1034140404952839,0.0,3.057845343062819e-05,higher_in_high_progress,False,0.38255499280564464,False
15727,f15727,0.31989151063570387,-0.10341403842571673,0.10341403842571673,3.056036942499734e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
1092,f1092,0.31989151063570387,-0.10341403798206117,0.10341403798206117,3.055649551939415e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4677,f4677,0.31989151063570387,-0.10341402947929769,0.10341402947929769,3.0482440513181915e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
15431,f15431,0.31989151063570387,-0.10341402798767828,0.10341402798767828,3.0469486212476597e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
4568,f4568,0.31989151063570387,0.103414027326454,0.103414027326454,0.0,3.046374718480266e-05,higher_in_high_progress,False,0.38255499280564464,False
1515,f1515,0.31989151063570387,-0.10341402633315085,0.10341402633315085,3.0455129974065428e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9837,f9837,0.31989151063570387,-0.10341402342395906,0.10341402342395906,3.042991986458564e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
14448,f14448,0.31989151063570387,-0.10341402016921077,0.10341402016921077,3.040176469515585e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
16093,f16093,0.31989151063570387,0.10341401979401371,0.10341401979401371,0.0,3.039852240459681e-05,higher_in_high_progress,False,0.38255499280564464,False
419,f419,0.31989151063570387,-0.10341401352595175,0.10341401352595175,3.0344458633756383e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9166,f9166,0.31989151063570387,-0.10341401294329991,0.10341401294329991,3.0339442867230852e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
728,f728,0.31989151063570387,-0.10341400871424371,0.10341400871424371,3.0303086609915956e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9461,f9461,0.31989151063570387,-0.10341400823936184,0.10341400823936184,3.029900959673032e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12931,f12931,0.31989151063570387,-0.10341400469188546,0.10341400469188546,3.0268588043907444e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
3638,f3638,0.31989151063570387,-0.10341399983397574,0.10341399983397574,3.022702777401543e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
12250,f12250,0.31989151063570387,-0.10341399459430867,0.10341399459430867,3.0182329244277126e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
10861,f10861,0.31989151063570387,-0.10341399325330282,0.10341399325330282,3.0170910635051063e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
10106,f10106,0.31989151063570387,-0.10341399248169199,0.10341399248169199,3.0164344315515957e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
16356,f16356,0.31989151063570387,-0.10341399127951052,0.10341399127951052,3.0154119582569148e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
6093,f6093,0.31989151063570387,0.10341399097563261,0.10341399097563261,0.0,3.0151536153193087e-05,higher_in_high_progress,False,0.38255499280564464,False
1229,f1229,0.31989151063570387,-0.10341398608428952,0.10341398608428952,3.0110013037127128e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
3219,f3219,0.31989151063570387,0.10341397918337301,0.10341397918337301,0.0,3.0051624560926598e-05,higher_in_high_progress,False,0.38255499280564464,False
11078,f11078,0.31989151063570387,0.10341397740558061,0.10341397740558061,0.0,3.0036619369019683e-05,higher_in_high_progress,False,0.38255499280564464,False
13800,f13800,0.31989151063570387,-0.10341397334033865,0.10341397334033865,3.000236354134149e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
16206,f16206,0.31989151063570387,-0.10341397287502223,0.10341397287502223,2.9998447528069148e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
15483,f15483,0.31989151063570387,0.10341396999595599,0.10341396999595599,0.0,2.9974240571894147e-05,higher_in_high_progress,False,0.38255499280564464,False
15284,f15284,0.31989151063570387,0.1034139680808806,0.1034139680808806,0.0,2.9958160395951593e-05,higher_in_high_progress,False,0.38255499280564464,False
14047,f14047,0.31989151063570387,-0.10341396786747556,0.10341396786747556,2.9956369581532982e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
9191,f9191,0.31989151063570387,-0.10341396716657196,0.10341396716657196,2.995048936931968e-05,0.0,higher_in_low_progress,False,0.38255499280564464,False
