trial,n,top20_auroc,top20_pr_auc,welch_fdr_significant_count,max_abs_train_effect,selected_features
62,376,0.7763128112267994,0.8142427338276526,350,0.018198454589087573,"f6638,f665,f1369,f3504,f1215,f9712,f13576,f4932,f3236,f15198,f4135,f11644,f11836,f5678,f13874,f12441,f11738,f11058,f1219,f7060"
63,376,0.7833012675418741,0.8000723680131097,393,0.01826420427854864,"f6638,f1369,f9712,f3236,f13874,f11836,f3504,f13576,f4135,f1215,f4932,f11058,f12441,f11644,f15198,f7060,f1219,f665,f827,f5678"
64,376,0.7883374830239928,0.7873295635546429,352,0.0187988908456123,"f1369,f6638,f3504,f15198,f9712,f4135,f13874,f13576,f1215,f665,f3236,f11836,f11644,f12441,f1219,f11058,f5678,f4932,f13898,f827"
65,376,0.7813631733816206,0.782775499688686,349,0.018018846157343754,"f3236,f6638,f665,f1369,f3504,f9712,f1215,f13874,f13576,f4135,f15198,f2830,f11836,f5678,f11644,f4932,f12441,f13898,f11058,f4867"
66,376,0.7508346536894523,0.79637916687878,344,0.018407154754002335,"f6638,f1369,f665,f3236,f4135,f9712,f3504,f13874,f13576,f15198,f4932,f1215,f2830,f11058,f11836,f5678,f11738,f12441,f15377,f11644"
67,376,0.7472696921684021,0.7530454048720192,380,0.01846661237861087,"f1369,f13576,f6638,f15198,f4135,f3504,f9712,f665,f3236,f13874,f4932,f11836,f1215,f7060,f4867,f2830,f11058,f5678,f12441,f13898"
68,376,0.7650096197374376,0.7684682414322278,385,0.018609731472989006,"f6638,f1369,f13874,f15198,f3236,f665,f1215,f3504,f9712,f11836,f13576,f4135,f11644,f11058,f4932,f12441,f5678,f827,f7060,f2830"
69,376,0.7835276143051155,0.8338451118961842,332,0.017978740474605473,"f2830,f1369,f6638,f13576,f665,f9712,f15198,f3504,f13874,f4135,f1215,f11836,f13898,f4867,f4932,f3236,f5678,f12441,f11058,f7060"
70,376,0.7335049796287914,0.7573581328372518,351,0.018388893222436288,"f1369,f13576,f1215,f3236,f6638,f3504,f15198,f9712,f13874,f11836,f4135,f12441,f5678,f4932,f11644,f7060,f11058,f665,f827,f2830"
71,376,0.7609636713444997,0.7499131843110266,368,0.01835069974309743,"f6638,f1369,f3504,f9712,f13874,f665,f1215,f3236,f4932,f13576,f4135,f15198,f11836,f11644,f11058,f5678,f12441,f1219,f2830,f4867"
