trial,control_type,auroc,pr_auc,selected_features
109,matched_random20,0.707998528746039,0.6877511283168184,"f2020,f268,f9354,f9555,f6398,f715,f7055,f2826,f12147,f10442,f12266,f12971,f6093,f4292,f1518,f4722,f3922,f8475,f14469,f14849"
110,matched_random20,0.8050588501584427,0.8124028175197291,"f6183,f10746,f8064,f2806,f3484,f12278,f3176,f13497,f4182,f13678,f13861,f16114,f2575,f10193,f7126,f1967,f13521,f4747,f11716,f14327"
111,matched_random20,0.6534065187867814,0.6680575223094463,"f2460,f684,f4610,f6576,f14514,f14898,f2362,f12399,f6954,f2841,f1839,f13046,f7256,f4728,f7806,f1915,f2482,f5798,f7887,f14838"
112,matched_random20,0.6352421910366681,0.6205433944661459,"f12867,f268,f10708,f7490,f11120,f1080,f10407,f6153,f8205,f14660,f9115,f16098,f13442,f200,f973,f10956,f16353,f2191,f11297,f12339"
113,matched_random20,0.7426578768673607,0.7092984405491525,"f15421,f863,f7831,f5129,f11838,f2028,f8205,f12344,f3514,f10239,f11242,f15938,f11940,f2746,f4299,f7873,f14980,f16278,f15503,f2985"
114,matched_random20,0.49466670439112725,0.4882421201411446,"f15603,f9476,f4205,f2431,f13297,f3498,f11149,f9693,f12982,f12375,f8127,f5140,f15965,f10592,f3265,f15877,f4154,f12090,f571,f13824"
115,matched_random20,0.8325458352195564,0.8419133528426546,"f9360,f3906,f2431,f10825,f11716,f1977,f11644,f8691,f16283,f2705,f13036,f6372,f16331,f10942,f3881,f7340,f3915,f6116,f1125,f8543"
116,matched_random20,0.7002461521050248,0.7117895491573998,"f1770,f6642,f7887,f384,f4096,f7029,f6701,f12392,f16038,f9992,f1190,f381,f15553,f11772,f4023,f15903,f8757,f7086,f13175,f11438"
117,matched_random20,0.6647521502942508,0.6198504843492547,"f15993,f6642,f4610,f7490,f2156,f3547,f7700,f8049,f11846,f10642,f5623,f4164,f1056,f10325,f13577,f3047,f10987,f11181,f4080,f6961"
118,matched_random20,0.7926380715255772,0.7775222829932693,"f13571,f12387,f13924,f2309,f7435,f15421,f1116,f2318,f12256,f13024,f16005,f15324,f1462,f9546,f12356,f3375,f2350,f4353,f4417,f9926"
119,matched_random20,0.5897889316432774,0.6111969032511531,"f15965,f6856,f1196,f14146,f14301,f16253,f15422,f9706,f11966,f10417,f3019,f4751,f2366,f2470,f5320,f5536,f1128,f11429,f6130,f2706"
120,matched_random20,0.7524756677229516,0.7442744028259629,"f5470,f6028,f14409,f7490,f6813,f5211,f5894,f3912,f708,f7086,f6965,f11673,f11100,f1331,f1336,f6721,f11446,f8475,f9703,f4973"
121,matched_random20,0.6363031914893618,0.5971875891237677,"f15228,f571,f10708,f4976,f10005,f10230,f5461,f14314,f3136,f13891,f11798,f9026,f10175,f10552,f9203,f8825,f9860,f888,f7590,f1185"
122,matched_random20,0.6166534631054776,0.6038995208160716,"f15965,f16342,f1196,f5575,f10475,f12159,f13147,f4080,f15801,f10526,f8834,f11774,f9732,f11142,f11889,f12393,f6466,f1666,f13828,f14873"
123,matched_random20,0.645597555454957,0.6359337025082636,"f4725,f1367,f7833,f7831,f1539,f13834,f8064,f3224,f11490,f8257,f7823,f12598,f12729,f14545,f6892,f2813,f2374,f2156,f1366,f13084"
124,matched_random20,0.5759959257582616,0.5948437507721877,"f13250,f9810,f13312,f2012,f8825,f8691,f2762,f8808,f2823,f2020,f16283,f13558,f9550,f5915,f7386,f16052,f9131,f6514,f10707,f14650"
125,matched_random20,0.695521163422363,0.6640823008159886,"f5877,f16183,f12046,f8521,f168,f6669,f2908,f6753,f2433,f3440,f5788,f8402,f15365,f1782,f8156,f754,f11559,f14914,f1944,f14013"
126,matched_random20,0.6554011996378452,0.6775578195627269,"f14184,f10404,f13201,f12147,f566,f11020,f13529,f10646,f1667,f5605,f9941,f9946,f9127,f10279,f9166,f16154,f1657,f8193,f16105,f12090"
127,matched_random20,0.7972923268447262,0.7955712265130264,"f11987,f13975,f14409,f12154,f7127,f11377,f1413,f8799,f4884,f665,f3546,f7040,f3760,f1483,f8182,f8586,f11923,f5326,f6831,f12528"
128,matched_random20,0.7252857627885921,0.6386647271682351,"f2460,f6642,f13509,f7831,f3561,f10945,f3630,f2978,f7979,f4242,f9815,f5208,f7638,f4747,f11833,f14334,f5566,f14834,f2019,f2900"
